barca_score,opponent_score,Marc-André ter Stegen,Sergi Roberto,Samuel Umtiti,Gerard Piqué,Jordi Alba,Philippe Coutinho,Ivan Rakitic,Sergio Busquets,Lionel Messi,Luis Suárez,Ousmane Dembélé,Malcom,Arturo Vidal,Munir El Haddadi,Nélson Semedo,Arthur,Clément Lenglet,Rafinha,Thomas Vermaelen,Carles Aleñá,Denis Suárez,Kevin-Prince Boateng,Jeison Murillo,Jean-Clair Todibo,Moussa Wague,Riqui Puig,Jasper Cillessen,Álex Collado,Abel Ruiz,Carles Pérez,Juan Miranda
2,2,,7.02,,7.28,6.2,,7.42,6.85,8.06,,,6.35,7.14,,6.29,,6.94,,,6.07,,,,,6.35,,5.69,,,6.1,
4,0,7.07,7.77,5.48,7.13,7.17,7.63,7.65,7.74,10.0,8.38,7.99,,6.42,,,6.32,6.11,,,,,,,,,,,,,,
4,2,6.43,,,6.68,8.05,7.84,7.46,7.38,10.0,7.24,,,6.04,,6.83,6.52,7.21,6.09,6.05,,,,,,,,,,,,
2,0,6.57,7.42,,6.76,8.18,7.33,7.98,7.84,,7.94,,,6.53,5.98,6.28,7.09,7.5,8.07,,,,,,,,,,,,,
1,1,5.95,6.52,,6.52,6.74,8.46,6.89,6.79,,7.1,7.01,7.06,6.11,,,6.82,6.03,,,,,,,,,,,,,,
2,1,7.18,,,7.25,6.58,7.14,6.51,7.3,9.01,,7.86,5.63,7.68,,6.52,,7.31,,,,5.76,,,,,,,,,,
1,1,,,,,,7.78,6.72,6.08,6.52,,7.98,,,6.33,6.29,6.42,7.76,,6.65,6.57,5.86,,,,,,7.58,,,,7.17
0,0,7.0,6.63,,7.4,7.31,6.29,6.88,7.3,8.06,6.65,6.41,,6.2,,7.55,,6.5,,,,,,,,,,,,,,
*5,1,6.61,7.01,,7.96,6.83,7.81,6.76,8.24,10.0,9.0,7.08,,6.48,,6.11,6.83,6.89,,,,,,,,,,,,,,
1,0,6.61,6.24,,7.33,7.17,6.61,6.58,6.73,6.89,6.14,,,6.01,,7.27,6.6,6.88,,,6.03,,,,,,,,,,,
*3,0,7.48,6.87,,6.92,7.95,8.08,7.09,7.25,10.0,7.04,6.14,,6.23,,6.3,6.98,7.02,,,,,,,,,,,,,,
3,0,7.82,7.4,,7.61,7.66,6.48,7.86,7.48,10.0,8.18,6.04,,7.3,,6.4,,7.45,,,6.17,,,,,,,,,,,
0,*4,5.97,6.54,,6.44,5.64,5.87,5.81,6.03,7.19,5.93,,6.01,6.88,,6.09,5.95,5.67,,,,,,,,,,,,,,
